filename,macro_f1,micro_f1,num_segments,num_true_labels,num_pred_labels,num_errors
000001.wav,0.11047973917093619,0.8571428571428571,61,75,79,22
000009.wav,0.10333333333333333,0.2222222222222222,77,7,38,35
000019.wav,0.13740031897926636,0.6753246753246753,38,35,42,25
000054.wav,0.10529100529100528,0.6333333333333333,32,27,33,22
000055.wav,0.10134158926728586,0.6666666666666666,48,43,86,43
000058.wav,0.1166925064599483,0.6764705882352942,36,30,38,22
000065.wav,0.12380952380952381,0.7619047619047619,35,74,52,30
000081.wav,0.0,0.0,60,50,77,127
000102.wav,0.12444444444444444,0.8695652173913043,40,31,38,9
000103.wav,0.12050944224857268,0.7659574468085106,44,36,58,22
000104.wav,0.10298708010335918,0.8099173553719008,42,49,72,23
000109.wav,0.06572769953051644,0.9722222222222222,36,35,37,2
000110.wav,0.06384976525821597,0.8192771084337349,58,34,49,15
000116.wav,0.004166666666666667,0.0196078431372549,31,31,71,100
000120.wav,0.11396011396011395,0.6857142857142857,41,26,44,22
000122.wav,0.243032834611782,0.9060773480662984,51,83,98,17
000144.wav,0.17203923290879813,0.8214285714285714,31,24,32,10
000150.wav,0.06564102564102564,0.42105263157894735,33,96,56,88
000155.wav,0.058333333333333334,0.27450980392156865,67,27,75,74
000180.wav,0.059259259259259255,0.3333333333333333,30,4,20,16
000182.wav,0.07252747252747252,0.25,38,9,39,36
000203.wav,0.1042570281124498,0.6842105263157895,47,65,87,48
000205.wav,0.07636363636363637,0.48,35,23,27,26
000238.wav,0.13320299771912675,0.6,50,25,55,32
000246.wav,0.15475351127525042,0.7578947368421053,41,40,55,23
000258.wav,0.12188552188552189,0.851063829787234,59,100,135,35
000263.wav,0.06545454545454546,0.9391304347826087,60,54,61,7
000283.wav,0.12854700854700854,0.5185185185185185,45,21,33,26
000296.wav,0.059259259259259255,0.35294117647058826,59,27,41,44
000299.wav,0.09904761904761905,0.78125,67,55,73,28
000322.wav,0.07351778656126481,0.5,44,28,48,38
000323.wav,0.1476923076923077,0.6265060240963856,42,31,52,31
000367.wav,0.04912280701754386,0.5833333333333334,39,14,34,20
000379.wav,0.13086419753086417,0.9818181818181818,35,27,28,1
000398.wav,0.17793939393939393,0.6929133858267716,64,47,80,39
000420.wav,0.14199134199134197,0.6666666666666666,36,31,35,22
000426.wav,0.1510737628384687,0.7058823529411765,34,41,44,25
000438.wav,0.06222222222222222,0.8235294117647058,57,38,47,15
000441.wav,0.02717948717948718,0.13725490196078433,63,62,40,88
000446.wav,0.09473684210526316,0.907563025210084,50,62,57,11
000457.wav,0.06492374727668845,0.46551724137931033,73,27,89,62
000462.wav,0.06190476190476191,0.7647058823529411,60,55,81,32
000468.wav,0.08499999999999999,0.5,35,10,22,16
000485.wav,0.09654062751407884,0.5701357466063348,62,65,156,95
000501.wav,0.060714285714285714,0.9107142857142857,62,52,60,10
000505.wav,0.25227272727272726,0.8852459016393442,61,59,63,14
000512.wav,0.23678138528138526,0.7916666666666666,57,74,70,30
000518.wav,0.1137123745819398,0.7,52,26,34,18
000520.wav,0.06504065040650406,0.7142857142857143,32,21,35,16
000529.wav,0.15070915877117427,0.5794392523364486,50,32,75,45
000536.wav,0.12403522403522403,0.4852459016393443,64,142,163,157
000543.wav,0.09989321128909229,0.5925925925925926,33,35,46,33
000546.wav,0.14227307398932112,0.6554621848739496,43,57,62,41
000582.wav,0.18096373571783406,0.7796610169491526,42,52,66,26
000585.wav,0.1660894660894661,0.6746987951807228,35,36,47,27
000599.wav,0.13360114777618365,0.6842105263157895,44,39,37,24
000607.wav,0.17160790598290598,0.862453531598513,65,124,145,37
000609.wav,0.11264367816091954,0.5714285714285714,38,15,27,18
000610.wav,0.10804597701149425,0.5,37,18,54,36
